Customer,State,Customer Lifetime Value,Response,Coverage,Coverage Index,Education,Education Index,Effective To Date,Employment Status,Employment Status Index,Gender,Income,Location,Location Index,Marital Status,Marital Status Index,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy Type Index,Policy,Policy Index,Renew Offer Type,Sales Channel,Sales Channel Index,Total Claim Amount,Vehicle Class,Vehicle Class Index,Vehicle Size,Vehicle Size Index
QC35222,California,3622.69,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,F,65163,Urban,2,Married,1,93,4,107,3,1,Corporate Auto,1,Corporate L2,4,3,Web,0,380.9,Four-Door Car,1,Medsize,1
AE98193,Washington,10610.21,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,153,26,14,0,7,Personal Auto,0,Personal L1,0,1,Branch,1,1098.36,SUV,4,Medsize,1
TM23514,Oregon,13868.02,No,Extended,1,College,1,1/1/2024,Employed,1,M,81196,Urban,2,Single,0,178,11,38,0,3,Personal Auto,0,Personal L3,2,3,Web,0,783.64,SUV,4,Medsize,1
WB38524,California,4008.95,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,M,62277,Suburban,1,Married,1,100,36,38,0,1,Personal Auto,0,Personal L3,2,2,Branch,1,479.52,Two-Door Car,0,Small,0
QZ42725,Washington,3119.69,No,Basic,0,Bachelor,2,1/1/2024,Unemployed,0,F,0,Suburban,1,Single,0,86,16,32,0,1,Personal Auto,0,Personal L3,2,2,Agent,2,622.08,Four-Door Car,1,Medsize,1
SG81493,Arizona,5999.04,No,Premium,2,Bachelor,2,1/1/2024,Employed,1,M,62618,Rural,0,Married,1,153,45,126,0,1,Corporate Auto,1,Corporate L1,3,2,Web,0,339.9,Four-Door Car,1,Medsize,1
QP80741,Washington,8165.58,No,Basic,0,College,1,1/1/2024,Unemployed,0,F,0,Suburban,1,Married,1,82,23,96,3,2,Corporate Auto,1,Corporate L1,3,3,Agent,2,395.28,Four-Door Car,1,Medsize,1
FN69743,California,6259.34,Yes,Basic,0,College,1,1/1/2024,Retired,3,M,36183,Suburban,1,Married,1,89,9,58,1,5,Corporate Auto,1,Corporate L1,3,2,Agent,2,427.68,Two-Door Car,0,Medsize,1
BW52697,California,7431.83,No,Basic,0,College,1,1/1/2024,Employed,1,F,116278,Urban,2,Married,1,92,41,14,0,3,Personal Auto,0,Personal L3,2,2,Call Center,3,406.94,Two-Door Car,0,Medsize,1
WP41146,California,7210.94,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,F,0,Suburban,1,Married,1,97,5,15,1,7,Personal Auto,0,Personal L2,1,1,Branch,1,466.56,Four-Door Car,1,Medsize,1
HP55391,Oregon,7325.28,No,Basic,0,Master,3,1/1/2024,Unemployed,0,M,0,Suburban,1,Married,1,96,45,112,0,3,Corporate Auto,1,Corporate L3,5,1,Agent,2,550.8,Four-Door Car,1,Medsize,1
US45383,California,16579.03,Yes,Premium,2,College,1,1/1/2024,Employed,1,M,119259,Suburban,1,Married,1,138,22,1,0,2,Personal Auto,0,Personal L3,2,1,Branch,1,660.96,Two-Door Car,0,Medsize,1
XC16387,Arizona,6804.56,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,62197,Rural,0,Single,0,86,0,82,0,4,Personal Auto,0,Personal L3,2,1,Branch,1,35.01,Four-Door Car,1,Medsize,1
VU53417,Arizona,5180.43,No,Extended,1,High School or Below,0,1/1/2024,Medical Leave,2,M,31119,Suburban,1,Divorced,2,134,42,116,0,1,Personal Auto,0,Personal L1,0,1,Agent,2,641.52,Two-Door Car,0,Medsize,1
KR62797,Arizona,6198.7,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,112451,Suburban,1,Married,1,153,8,38,0,1,Personal Auto,0,Personal L2,1,2,Call Center,3,732.24,SUV,4,Medsize,1
SV34223,California,27644.1,No,Basic,0,College,1,1/1/2024,Employed,1,F,78728,Suburban,1,Married,1,99,0,76,0,2,Personal Auto,0,Personal L2,1,4,Call Center,3,473.04,Four-Door Car,1,Medsize,1
JO13576,California,3554.57,No,Basic,0,High School or Below,0,1/1/2024,Retired,3,F,29512,Suburban,1,Married,1,93,4,15,0,1,Personal Auto,0,Personal L3,2,2,Agent,2,470.18,Four-Door Car,1,Medsize,1
AC75391,Arizona,7786.92,No,Basic,0,College,1,1/1/2024,Employed,1,F,47373,Suburban,1,Divorced,2,100,36,26,0,9,Corporate Auto,1,Corporate L1,3,1,Branch,1,565.55,Two-Door Car,0,Medsize,1
LP47259,Arizona,11237.71,No,Extended,1,High School or Below,0,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,163,15,124,0,5,Corporate Auto,1,Corporate L3,5,2,Branch,1,1176.12,Sports Car,2,Medsize,1
VF21395,Oregon,3581.14,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,M,111584,Suburban,1,Married,1,89,11,126,0,1,Personal Auto,0,Personal L2,1,2,Web,0,427.68,Two-Door Car,0,Medsize,1
JG36165,California,8157.53,No,Extended,1,Bachelor,2,1/1/2024,Unemployed,0,M,0,Suburban,1,Single,0,112,16,28,0,5,Personal Auto,0,Personal L1,0,4,Web,0,1220.92,Two-Door Car,0,Medsize,1
TC84427,Oregon,6817.08,No,Basic,0,High School or Below,0,1/1/2024,Employed,1,F,82458,Urban,2,Single,0,89,9,55,2,9,Personal Auto,0,Personal L3,2,1,Call Center,3,397.28,Four-Door Car,1,Medsize,1
LI85491,Oregon,5055.18,No,Basic,0,High School or Below,0,1/1/2024,Unemployed,0,F,0,Suburban,1,Single,0,136,4,43,0,1,Personal Auto,0,Personal L3,2,1,Agent,2,981.72,SUV,4,Small,0
VE55982,Nevada,3570.32,No,Basic,0,Bachelor,2,1/1/2024,Employed,1,M,72900,Suburban,1,Divorced,2,89,20,61,0,1,Corporate Auto,1,Corporate L1,3,1,Call Center,3,504.74,Two-Door Car,0,Medsize,1
EF87528,Arizona,6259.34,Yes,Basic,0,College,1,1/1/2024,Retired,3,M,36183,Suburban,1,Married,1,89,9,58,1,5,Special Auto,2,Special L3,8,2,Agent,2,427.68,Two-Door Car,0,Medsize,1
EP18940,Oregon,12788.51,No,Extended,1,Bachelor,2,1/1/2024,Unemployed,0,F,0,Suburban,1,Married,1,116,41,43,0,2,Personal Auto,0,Personal L3,2,1,Call Center,3,557.28,Four-Door Car,1,Medsize,1
TH68362,California,3205.99,No,Basic,0,College,1,1/1/2024,Unemployed,0,F,0,Suburban,1,Married,1,86,3,70,0,1,Corporate Auto,1,Corporate L3,5,3,Agent,2,514.11,Four-Door Car,1,Medsize,1
